"","time","mag","x","y","YR","MO","DAY","HR","MN","SEC"
"157",495.453975444444,3,13.782833,38.292333,1982,5,10,20,22,52.51
"158",510.502309777778,3.45,10.6005,44.661667,1982,5,25,21,32,28.84
"159",510.502333925926,3.5,10.546833,44.524667,1982,5,25,21,32,30.58
"160",511.46135112963,3.1,12.941,42.0235,1982,5,26,20,33,29.42
"161",514.355761851852,3.7,15.330333,39.746167,1982,5,29,18,1,26.37
"162",519.08959387037,3.55,7.355,44.3795,1982,6,3,11,38,9.41
"163",521.350717555556,3.7461982,14.809833,45.667,1982,6,5,17,54,10.42
"164",546.572373648148,3.2,12.625167,38.701833,1982,6,30,23,13,21.25
"165",547.693925574074,3.1,6.6178333,45.824167,1982,7,2,2,8,23.67
"166",550.595280740741,3.6,15.126667,37.803833,1982,7,4,23,46,20.23
"167",557.106844240741,3.2,6.6931667,44.874333,1982,7,11,12,2,59.26
"168",557.383697092593,3,15.204,40.902333,1982,7,11,18,41,39.78
"169",558.677668,3.2753681,13.030333,42.621,1982,7,13,1,44,58.57
"170",566.060099555556,3.0860552,12.870667,46.3065,1982,7,20,10,55,40.4
"171",570.455100555556,3.3,9.9751667,44.657667,1982,7,24,20,24,28.4
"172",583.574372388889,3.084,12.920333,42.881167,1982,8,6,23,16,13.69
"173",586.515125703704,3.55,12.4155,44.4415,1982,8,9,21,50,54.18
"174",587.750416055556,3.1800235,13.0385,42.8725,1982,8,11,3,29,43.55
"175",588.437535111111,3.25,9.9006667,44.552833,1982,8,11,19,59,10.76
"176",592.236644907407,5.318,15.320167,40.943333,1982,8,15,15,9,53.88
"177",592.414007018519,3.5348326,13.0365,42.844,1982,8,15,19,25,17.78
"178",604.82980662963,3.45,15.365833,40.827,1982,8,28,5,24,2.09
"179",609.252886333333,3.5,10.305333,43.825167,1982,9,1,15,33,16.72
"180",616.396984555556,3.95,14.869,41.427667,1982,9,8,19,0,46.4
"181",617.676835092593,3.65,15.246167,40.860333,1982,9,10,1,43,45.24
"182",618.4673685,3.4,15.057167,37.854,1982,9,10,20,42,7.83
"183",628.138804685185,3.3,16.906833,39.510667,1982,9,20,12,48,59.63
"184",629.261664481481,3.5,16.543333,38.371667,1982,9,21,15,45,54.6
"185",633.973077518518,3.5,15.5335,40.610333,1982,9,26,8,50,20.06
"186",637.13887712963,3.95,12.915,42.0365,1982,9,29,12,49,5.66
"187",637.147350351852,3.35,12.702167,41.811167,1982,9,29,13,1,17.34
"188",637.613902277778,4.35,15.429333,40.8385,1982,9,30,0,13,7.95
"189",647.830454203704,3.006487,14.218333,45.654333,1982,10,10,5,24,57.6
"190",653.677388074074,3.05,12.113333,42.160333,1982,10,16,1,44,32.72
"191",654.801764074074,3.45,12.442167,43.3325,1982,10,17,4,43,38.85
"192",654.806302111111,4.25,12.844333,43.187833,1982,10,17,4,50,10.3
"193",654.809347092593,4.25,12.5595,43.112167,1982,10,17,4,54,33.35
"194",654.886454574074,4.646,12.8455,43.193167,1982,10,17,6,45,35.87
"195",654.904464833333,3.55,13.063,42.8365,1982,10,17,7,11,31.77
"196",655.060866296296,4.622,13.015167,43.3355,1982,10,17,10,56,44.39
"197",655.075080259259,3.05,12.762333,43.110167,1982,10,17,11,17,12.81
"198",655.304502555556,3,12.925833,43.244833,1982,10,17,16,47,34.69
"199",655.465660962963,3.45,12.968167,43.323167,1982,10,17,20,39,38.36
"200",655.719504555556,3.8,12.832167,43.182833,1982,10,18,2,45,10.13
"201",655.760385185185,3.15,12.4135,43.030667,1982,10,18,3,44,2.87
"202",656.250247296296,4.555,12.506833,43.1555,1982,10,18,15,29,26.4
"203",656.662366351852,4.25,12.8505,43.135,1982,10,19,1,22,53.18
"204",658.895723833333,3.9,14.801,38.042167,1982,10,21,6,58,55.22
"205",658.939972518519,3.9,14.8,38.064667,1982,10,21,8,2,38.81
"206",659.138607777778,3.7,14.807667,38.057,1982,10,21,12,48,40.88
"207",661.506166648148,3.15,12.711167,43.3055,1982,10,23,21,37,57.36
"208",662.09139912963,3.05,9.5836667,44.493333,1982,10,24,11,40,41.95
"209",662.107835314815,3.25,9.585,44.515667,1982,10,24,12,4,21.37
"210",662.436621037037,3.1,9.5943333,44.388,1982,10,24,19,57,48.56
"211",670.017096574074,3.1,15.5585,40.6515,1982,11,1,9,53,41.12
"212",675.4686485,3.15,13.135833,43.334,1982,11,6,20,43,55.79
"213",678.563811537037,3.15,13.108667,42.4595,1982,11,9,23,0,57.29
"214",705.214055592593,3,14.293833,41.813333,1982,12,6,14,37,18.68
"215",706.087378351852,3.1,15.4225,40.53,1982,12,7,11,34,53.11
"216",720.264092314815,3.55,15.608667,40.559167,1982,12,21,15,49,21.93
"217",726.844255351852,3.4,16.275167,42.1075,1982,12,28,5,44,47.38
"218",732.632543388889,4.054852,14.551833,41.068833,1983,1,3,0,39,55.06
"219",732.842474944444,3.1150772,14.561833,45.451333,1983,1,3,5,42,13.71
"220",734.659894925926,3.584942,14.508667,41.073167,1983,1,5,1,19,18.63
"221",739.914351944444,3.3384836,12.673333,42.855,1983,1,10,7,25,43.01
"222",740.086690907407,3.122178,12.7505,42.7405,1983,1,10,11,33,53.44
"223",740.259492833333,3.3098,15.484333,40.441,1983,1,10,15,42,43.77
"224",742.800442907407,3.1969,15.418167,40.428667,1983,1,13,4,41,41.83
"225",747.737029555556,3.1969,15.479333,40.801,1983,1,18,3,10,22.97
"226",752.13391712963,3.4,7.113,45.136167,1983,1,22,12,41,53.4
"227",754.497911185185,3.390525,12.836333,42.840833,1983,1,24,21,26,2.71
"228",758.716002462963,3.4815364,9.5998333,44.475833,1983,1,29,2,40,5.91
"229",762.948075222222,4.35,15.690667,40.552667,1983,2,2,8,14,16.02
